"ACTUAL,C,1","CHEFLIEU,C,1","CDC,C,1","RANG,C,1","REG,C,2","DEP,C,3","COM,C,3","AR,C,1","CT,C,2","MODIF,C,1","POLE,C,5","TNCC,C,1","ARTMAJ,C,5","NCC,C,70","ARTMIN,C,5","NCCENR,C,70","ARTICLCT,C,5","NCCCT,C,70","MOD,C,3","MANIP,C,1"
1,0,0,,94,2B,205,5,08,1,,0,,PATRIMONIO,,Patrimonio,,Cap Corse,420,M
1,0,0,,94,2B,206,3,14,1,,0,,PENTA-ACQUATELLA,,Penta-Acquatella,,Golo-Morosaglia,420,M
1,1,0,,94,2B,207,3,09,1,,0,,PENTA-DI-CASINCA,,Penta-di-Casinca,,Casinca-Fumalto,420,M
1,0,0,,94,2B,210,3,09,1,,0,,PERO-CASEVECCHIE,,Pero-Casevecchie,,Casinca-Fumalto,420,M
1,0,0,,94,2B,214,3,09,1,,0,,PIANO,,Piano,,Casinca-Fumalto,420,M
1,0,0,,94,2B,223,5,14,1,,0,,PIETRALBA,,Pietralba,,Golo-Morosaglia,420,M
1,0,0,,94,2B,230,5,05,1,,0,,PIEVE,,Piève,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,239,5,05,1,,0,,POGGIO-D'OLETTA,,Poggio-d'Oletta,,Biguglia-Nebbio,420,M
1,0,0,,84,26,243,2,03,1,,2,(LE),POET-LAVAL,(Le),Poët-Laval,,Dieulefit,420,M
1,0,0,,84,26,249,2,03,1,,0,,PONT-DE-BARRET,,Pont-de-Barret,,Dieulefit,420,M
1,0,0,,84,26,251,2,03,1,,0,,PORTES-EN-VALDAINE,,Portes-en-Valdaine,,Dieulefit,420,M
1,0,0,,84,26,257,2,03,1,,0,,PUYGIRON,,Puygiron,,Dieulefit,420,M
1,0,0,,84,26,268,2,03,1,,0,,ROCHEBAUDIN,,Rochebaudin,,Dieulefit,420,M
1,0,0,,84,26,272,2,03,1,,0,,ROCHEFORT-EN-VALDAINE,,Rochefort-en-Valdaine,,Dieulefit,420,M
1,0,0,,84,26,276,2,03,1,,0,,ROCHE-SAINT-SECRET-BECONNE,,Roche-Saint-Secret-Béconne,,Dieulefit,420,M
1,0,0,,84,26,287,2,03,1,,0,,ROYNAC,,Roynac,,Dieulefit,420,M
1,0,0,,84,26,305,2,03,1,,0,,SAINT-GERVAIS-SUR-ROUBION,,Saint-Gervais-sur-Roubion,,Dieulefit,420,M
1,0,0,,84,26,312,2,03,1,,0,,SAINT-MARCEL-LES-SAUZET,,Saint-Marcel-lès-Sauzet,,Dieulefit,420,M
1,0,0,,75,16,300,3,05,1,,0,,SAINT-ANGEAU,,Saint-Angeau,,Boixe-et-Manslois,420,M
1,0,0,,75,16,307,3,05,1,,0,,SAINT-CIERS-SUR-BONNIEURE,,Saint-Ciers-sur-Bonnieure,,Boixe-et-Manslois,420,M
1,0,0,,75,16,309,3,05,1,,0,,SAINTE-COLOMBE,,Sainte-Colombe,,Boixe-et-Manslois,420,M
1,0,0,,75,16,312,2,18,1,,0,,SAINT-CYBARDEAUX,,Saint-Cybardeaux,,Val de Nouère,420,M
1,0,0,,75,16,317,3,08,1,,0,,SAINT-FRAIGNE,,Saint-Fraigne,,Charente-Nord,420,M
1,0,0,,75,16,318,3,05,1,,0,,SAINT-FRONT,,Saint-Front,,Boixe-et-Manslois,420,M
1,0,0,,75,16,321,3,08,1,,0,,SAINT-GEORGES,,Saint-Georges,,Charente-Nord,420,M
6,,,,75,16,322,,,1,16106,0,,SAINT-GERMAIN-DE-CONFOLENS,,Saint-Germain-de-Confolens,,,331,S
1,0,0,,75,16,325,3,08,1,,0,,SAINT-GOURSON,,Saint-Gourson,,Charente-Nord,420,M
1,0,0,,75,16,326,3,05,1,,0,,SAINT-GROUX,,Saint-Groux,,Boixe-et-Manslois,420,M
1,0,0,,75,16,335,3,08,1,,0,,SAINT-MARTIN-DU-CLOCHER,,Saint-Martin-du-Clocher,,Charente-Nord,420,M
1,0,0,,75,16,339,2,18,1,,1,,AUGE-SAINT-MEDARD,,Auge-Saint-Médard,,Val de Nouère,420,M
1,0,0,,75,16,356,3,08,1,,0,,SAINT-SULPICE-DE-RUFFEC,,Saint-Sulpice-de-Ruffec,,Charente-Nord,420,M
1,0,0,,75,16,361,3,08,1,,0,,SALLES-DE-VILLEFAGNAN,,Salles-de-Villefagnan,,Charente-Nord,420,M
6,,,,75,16,371,,,1,16286,0,,SONNEVILLE,,Sonneville,,,331,S
6,,,,75,16,371,,,1,16286,0,,SONNEVILLE,,Sonneville,,,420,M
1,0,0,,75,16,373,3,08,1,,0,,SOUVIGNE,,Souvigné,,Charente-Nord,420,M
1,0,0,,75,16,377,3,05,1,,3,(LA),TACHE,(La),Tâche,,Boixe-et-Manslois,420,M
1,0,0,,75,16,378,3,08,1,,0,,TAIZE-AIZIE,,Taizé-Aizie,,Charente-Nord,420,M
1,0,0,,75,16,381,3,08,1,,0,,THEIL-RABIER,,Theil-Rabier,,Charente-Nord,420,M
1,0,0,,94,2B,241,3,09,1,,0,,POGGIO-MARINACCIO,,Poggio-Marinaccio,,Casinca-Fumalto,420,M
1,0,0,,94,2B,242,3,10,1,,0,,POGGIO-MEZZANA,,Poggio-Mezzana,,Castagniccia,420,M
1,0,0,,94,2B,243,3,09,1,,0,,POLVEROSO,,Polveroso,,Casinca-Fumalto,420,M
1,0,0,,94,2B,245,3,09,1,,0,,PORRI,,Porri,,Casinca-Fumalto,420,M
1,0,0,,94,2B,246,3,09,1,,3,(LA),PORTA,(La),Porta,,Casinca-Fumalto,420,M
1,0,0,,94,2B,250,3,14,1,,0,,PRUNELLI-DI-CASACCONI,,Prunelli-di-Casacconi,,Golo-Morosaglia,420,M
1,0,0,,94,2B,252,3,09,1,,0,,PRUNO,,Pruno,,Casinca-Fumalto,420,M
1,0,0,,94,2B,255,3,09,1,,0,,QUERCITELLO,,Quercitello,,Casinca-Fumalto,420,M
1,0,0,,94,2B,257,5,05,1,,0,,RAPALE,,Rapale,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,265,5,05,1,,0,,RUTALI,,Rutali,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,273,3,09,1,,0,,SCATA,,Scata,,Casinca-Fumalto,420,M
1,0,0,,94,2B,274,3,14,1,,0,,SCOLCA,,Scolca,,Golo-Morosaglia,420,M
1,0,0,,94,2B,280,3,09,1,,0,,SILVARECCIO,,Silvareccio,,Casinca-Fumalto,420,M
1,0,0,,94,2B,286,3,09,1,,0,,SORBO-OCAGNANO,,Sorbo-Ocagnano,,Casinca-Fumalto,420,M
1,0,0,,94,2B,287,5,05,1,,0,,SORIO,,Sorio,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,293,3,10,1,,0,,SANT'ANDREA-DI-COTONE,,Sant'Andréa-di-Cotone,,Castagniccia,420,M
1,0,0,,94,2B,297,3,09,1,,0,,SAN-DAMIANO,,San-Damiano,,Casinca-Fumalto,420,M
1,0,0,,94,2B,298,5,05,1,,0,,SAINT-FLORENT,,Saint-Florent,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,299,3,09,1,,0,,SAN-GAVINO-D'AMPUGNANI,,San-Gavino-d'Ampugnani,,Casinca-Fumalto,420,M
1,0,0,,94,2B,301,5,05,1,,0,,SAN-GAVINO-DI-TENDA,,San-Gavino-di-Tenda,,Biguglia-Nebbio,420,M
1,0,0,,94,2B,302,3,10,1,,0,,SAN-GIOVANNI-DI-MORIANI,,San-Giovanni-di-Moriani,,Castagniccia,420,M
1,0,0,,94,2B,303,3,10,1,,0,,SAN-GIULIANO,,San-Giuliano,,Castagniccia,420,M
1,0,0,,52,49,018,3,08,1,,0,,BAUGE-EN-ANJOU,,Baugé-en-Anjou,,Beaufort-en-Vallée,341,M
6,,,,52,49,019,,,1,49307,0,,BAUNE,,Bauné,,,331,S
1,1,0,,52,49,021,1,08,0,,0,,BEAUFORT-EN-ANJOU,,Beaufort-en-Anjou,,Beaufort-en-Vallée,341,M
1,1,0,,52,49,021,1,08,0,,0,,BEAUFORT-EN-ANJOU,,Beaufort-en-Anjou,,Beaufort-en-Vallée,341,M
1,1,0,,52,49,021,1,08,0,,0,,BEAUFORT-EN-ANJOU,,Beaufort-en-Anjou,,Beaufort-en-Vallée,331,S
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,341,M
1,1,0,,52,49,023,2,09,0,,0,,BEAUPREAU-EN-MAUGES,,Beaupréau-en-Mauges,,Beaupréau,331,S
6,,,,52,49,024,,,1,49244,0,,BEAUSSE,,Beausse,,,331,S
6,,,,52,49,025,,,1,49163,0,,BEAUVAU,,Beauvau,,,331,S
1,0,0,,52,49,029,1,17,1,,0,,BLAISON-SAINT-SULPICE,,Blaison-Saint-Sulpice,(Les),Ponts-de-Cé,341,M
1,0,0,,52,49,029,1,17,1,,0,,BLAISON-SAINT-SULPICE,,Blaison-Saint-Sulpice,(Les),Ponts-de-Cé,341,M
1,0,0,,52,49,029,1,17,1,,0,,BLAISON-SAINT-SULPICE,,Blaison-Saint-Sulpice,(Les),Ponts-de-Cé,331,S
6,,,,52,49,031,,,1,49018,0,,BOCE,,Bocé,,,331,S
6,,,,52,49,032,,,1,49307,3,(LA),BOHALLE,(La),Bohalle,,,331,S
6,,,,52,49,033,,,1,49218,3,(LA),BOISSIERE-SUR-EVRE,(La),Boissière-sur-Èvre,,,331,S
6,,,,52,49,034,,,1,49244,0,,BOTZ-EN-MAUGES,,Botz-en-Mauges,,,331,S
6,,,,52,49,039,,,1,49244,0,,BOURGNEUF-EN-MAUGES,,Bourgneuf-en-Mauges,,,331,S
6,,,,52,49,040,,,1,49069,0,,BOUZILLE,,Bouzillé,,,331,S
6,,,,52,49,042,,,1,49307,0,,BRAIN-SUR-L'AUTHION,,Brain-sur-l'Authion,,,331,S
6,,,,52,49,043,,,1,49367,0,,BRAIN-SUR-LONGUENEE,,Brain-sur-Longuenée,,,331,S
6,,,,52,49,049,,,1,49138,0,,BRION,,Brion,,,331,S
6,,,,52,49,059,,,1,49373,4,(LES),CERQUEUX-SOUS-PASSAVANT,(Les),Cerqueux-sous-Passavant,,,331,S
6,,,,52,49,066,,,1,49345,0,,CHAMP-SUR-LAYON,,Champ-sur-Layon,,,331,S
1,0,0,,44,51,564,2,07,1,,0,,VAL DE LIVRE,,Val de Livre,,Épernay-1,341,M
1,0,0,,44,51,564,2,07,1,,0,,VAL DE LIVRE,,Val de Livre,,Épernay-1,341,M
1,0,0,,44,51,564,2,07,1,,0,,VAL DE LIVRE,,Val de Livre,,Épernay-1,331,S
1,0,0,,44,51,564,2,07,1,,0,,VAL DE LIVRE,,Val de Livre,,Épernay-1,420,M
1,0,0,,44,51,576,2,07,1,,0,,TOURS-SUR-MARNE,,Tours-sur-Marne,,Épernay-1,420,M
1,0,0,,44,51,599,1,10,1,,0,,VAUDEMANGE,,Vaudemange,,Mourmelon-Vesle et Monts de Champagne,100,M
1,0,0,,44,55,060,3,09,1,,0,,BONZEE,,Bonzée,,Étain,360,M
1,0,0,,44,55,060,3,09,1,,0,,BONZEE,,Bonzée,,Étain,360,M
1,0,0,,44,55,068,3,06,1,,0,,BRABANT-EN-ARGONNE,,Brabant-en-Argonne,,Clermont-en-Argonne,210,A
1,0,0,,44,55,082,3,06,1,,0,,BROCOURT-EN-ARGONNE,,Brocourt-en-Argonne,,Clermont-en-Argonne,210,A
3,,,,44,55,091,,,1,55457,0,,BUTGNEVILLE,,Butgnéville,,,350,M
1,0,0,,44,55,094,3,09,1,,0,,BUZY-DARMONT,,Buzy-Darmont,,Étain,360,M
1,0,0,,84,43,234,1,07,1,,0,,SAUGUES,,Saugues,,Gorges de l'Allier-Gévaudan,420,M
1,0,0,,84,43,245,1,07,1,,0,,THORAS,,Thoras,,Gorges de l'Allier-Gévaudan,341,M
1,0,0,,84,43,245,1,07,1,,0,,THORAS,,Thoras,,Gorges de l'Allier-Gévaudan,341,M
1,0,0,,84,43,245,1,07,1,,0,,THORAS,,Thoras,,Gorges de l'Allier-Gévaudan,331,S
1,0,0,,84,43,245,1,07,1,,0,,THORAS,,Thoras,,Gorges de l'Allier-Gévaudan,420,M
